User Name,User ID,Tweet Date,Time,Tweet Content,Media,Tweet Link
RailwaySeva,945918632642494464,2025-01-07,13:33:14,@gemsofuniverse For necessary action escalated to the concerned official    @Drm_mb (pnr 6446612755),False,https://twitter.com/RailwaySeva/status/1876623127901540418
RailwaySeva,945918632642494464,2025-01-07,13:32:20,"@Balvind31242932 संबंधित अधिकारियों को सूचित किया जा रहा है।  
 @Drmbikaner",False,https://twitter.com/RailwaySeva/status/1876622904160620983
RailwaySeva,945918632642494464,2025-01-07,13:31:48,"@Gladiator00796 In the computerised reservation system of Indian Railways, there is a provision for allotting lower berth automatically to senior citizens and female passengers above the age of 45 years./pregnant women. It is, however, subject to availability of such lower berths at the time of… https://t.co/znDf8SQeyo",False,https://twitter.com/RailwaySeva/status/1876622769707954456
RailwaySeva,945918632642494464,2025-01-07,13:31:02,@MRROY59748331 Kindly visit the following link https://t.co/290SNVrCJb or you may also dial 139 for train enquiry,False,https://twitter.com/RailwaySeva/status/1876622576862298212
RailwaySeva,945918632642494464,2025-01-07,13:30:58,@PatilKushagra Kindly visit the following link https://t.co/290SNVrCJb or you may also dial 139 for train enquiry,False,https://twitter.com/RailwaySeva/status/1876622557241364737
RailwaySeva,945918632642494464,2025-01-07,13:30:21,@priya_swain Your complaint has been registered on RailMadad and complaint no. has been sent through SMS on your mobile no. You may track your complaint via this link https://t.co/5jRBcou3Uh,False,https://twitter.com/RailwaySeva/status/1876622401745961363
RailwaySeva,945918632642494464,2025-01-07,13:30:07,@UnmeshGokhale Please share your Train no. number and mobile no. preferably via DM to enable us to take immediate action.  You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876622345898749965
RailwaySeva,945918632642494464,2025-01-07,13:29:28,"@praleshmehta We're listening and will do our best to help. The concerned officials are being notified
 @Drmbct",False,https://twitter.com/RailwaySeva/status/1876622181540769992
RailwaySeva,945918632642494464,2025-01-07,13:27:41,"@Deepu179534 We're listening and will do our best to help. The concerned officials are being notified
 @Drm_dli @Drmhowrah
We request you to please share Mobile No. with us preferably via DM. You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U",False,https://twitter.com/RailwaySeva/status/1876621732725006837
RailwaySeva,945918632642494464,2025-01-07,13:27:06,@Abhishekjsca Please share your PNR number and mobile no. preferably via DM to enable us to take immediate action.  You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876621586964664547
RailwaySeva,945918632642494464,2025-01-07,13:26:49,@devilgarwa For necessary action escalated to the concerned official  @Drm_dli,False,https://twitter.com/RailwaySeva/status/1876621511785955429
RailwaySeva,945918632642494464,2025-01-07,13:25:40,@chiragoza7 We request you to please share the journey details (PNR/UTS No.) and Mobile No. with us preferably via DM so that immediate action can be taken on your complaint. You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876621224312508831
RailwaySeva,945918632642494464,2025-01-07,13:22:30,@rajkumar1080 We will require your journey details (PNR / UTS no.) &amp; mobile no. preferably via DM.  You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876620428179083563
RailwaySeva,945918632642494464,2025-01-07,13:22:29,@Vikassavita3 Kindly look into this matter  @rpfwcr,False,https://twitter.com/RailwaySeva/status/1876620421371691063
RailwaySeva,945918632642494464,2025-01-07,13:22:22,"@rajkumar1080 We're listening and will do our best to help. The concerned officials are being notified. 
 @Drmsecunderabad",False,https://twitter.com/RailwaySeva/status/1876620393357922678
RailwaySeva,945918632642494464,2025-01-07,13:19:40,@gemsofuniverse We request you to please share the journey details (PNR/UTS No.) and Mobile No. with us preferably via DM so that immediate action can be taken on your complaint. You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876619714266530187
RailwaySeva,945918632642494464,2025-01-07,13:18:58,"@AnkitKumar66824 We’re here to assist you. May please share your  mobile no. with us preferably via DM.
   You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. 
 For necessary action escalated to the concerned official 
@Bhopaldivision https://t.co/utEzIqB89U",False,https://twitter.com/RailwaySeva/status/1876619536969220295
RailwaySeva,945918632642494464,2025-01-07,13:18:55,@Vikassavita3 Please share your PNR number and mobile no. preferably via DM to enable us to take immediate action.  You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876619524126212449
RailwaySeva,945918632642494464,2025-01-07,13:18:40,@AbhijeetDr34903 हम अभी भी यात्रा विवरण और मोबाइल नंबर की प्रतीक्षा कर रहे हैं ताकि हम आपकी शिकायत दर्ज कर सकें और समाधान में तेजी ला सकें।,False,https://twitter.com/RailwaySeva/status/1876619464302850055
RailwaySeva,945918632642494464,2025-01-07,13:17:21,"@ketankumartr For necessary action escalated to the concerned official 
 @DrmDnr
 we request you to please share the journey details (PNR/UTS No.) and Mobile No. with us preferably via DM so that immediate action can be taken on your complaint. You may also raise your concern directly on… https://t.co/KoYj8DeOMb https://t.co/utEzIqB89U",False,https://twitter.com/RailwaySeva/status/1876619130847285529
RailwaySeva,945918632642494464,2025-01-07,13:16:51,@attulsri For necessary action escalated to the concerned official  @Drmncrald,False,https://twitter.com/RailwaySeva/status/1876619006045798540
RailwaySeva,945918632642494464,2025-01-07,13:16:50,@Drxupendra1992 हम आपसे अनुरोध करते हैं कि कृपया यात्रा विवरण (पीएनआर / यूटीएस नंबर) और मोबाइल नंबर वैकल्पिक रूप से DM के माध्यम से हमारे साथ साझा करें। आप अपनी शिकायत सीधे https://t.co/AmJ5X4ydf8 पर भी शीघ्र निवारण के लिए रजिस्टर कर सकते हैं। https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876619002723881389
